|user_id    |username                                                                                            |password                                                                                            |first_name                                                                                          |last_name                                                                                           |birthday  |phone_number                                                                                        |email                                                                                               |role       |
|-----------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|-----------|
|1          |csimper3                                                                                            |f00f1ghters                                                                                         |Cassius                                                                                             |Simper                                                                                              |1992-02-19|985-170-6499                                                                                        |csimper3@walk.com                                                                                   |1          |
|2          |oryland4                                                                                            |w33z3r                                                                                              |Odette                                                                                              |Ryland                                                                                              |1999-01-13|977-833-8510                                                                                        |oryland4@undone.com                                                                                 |2          |
|3          |c.turpin                                                                                            |g33k                                                                                                |Cale                                                                                                |Turpen                                                                                              |1976-10-08|625-519-2240                                                                                        |cale.turpen@geekink.com                                                                             |3          |
|4          |blazeortiz                                                                                          |bl4z3!                                                                                              |Johnny                                                                                              |Ortiz                                                                                               |1980-06-20|606-676-1758                                                                                        |johnny@inklahoma.com                                                                                |3          |
|5          |BIGG                                                                                                |laz@r3tto                                                                                           |Chris                                                                                               |Munoz                                                                                               |1982-04-30|273-801-0707                                                                                        |bigg@niteowl.com                                                                                    |3          |
|6          |Caroline_Divine                                                                                     |sp00kycuTe                                                                                          |Caroline                                                                                            |Fedelle                                                                                             |1992-01-04|685-710-2144                                                                                        |carolinedivine@tattoo.com                                                                           |3          |
|7          |afratbrother11                                                                                      |pass1234$                                                                                           |Alethea                                                                                             |Farbrother                                                                                          |1976-02-14|260-999-5395                                                                                        |afarbrother3@patch.com                                                                              |2          |
|8          |ahuckstepp                                                                                          |c00k14s                                                                                             |Allen                                                                                               |Huckstepp                                                                                           |2001-08-26|520-469-2513                                                                                        |ahuckstepp@university.edu                                                                           |2          |
|9          |jhosten2                                                                                            |b1@ckCan4ry                                                                                         |Joey                                                                                                |Hosten                                                                                              |1997-07-18|575-642-3661                                                                                        |jhosten2@cbc.ca                                                                                     |2          |
